127.0.0.1 - - [14/Sep/2024:17:41:52 -0600] "POST /wp-cron.php?doing_wp_cron=1726357312.2274789810180664062500 HTTP/1.0" 200 -
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET / HTTP/1.0" 200 83995
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-includes/blocks/navigation/style.min.css?ver=6.6.2 HTTP/1.0" 200 16384
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-includes/blocks/image/style.min.css?ver=6.6.2 HTTP/1.0" 200 6358
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-includes/blocks/navigation/view.min.js?ver=6.6.2 HTTP/1.0" 200 3300
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp HTTP/1.0" 200 66482
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp HTTP/1.0" 200 199724
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-content/themes/twentytwentyfour/assets/images/windows.webp HTTP/1.0" 200 126244
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-includes/js/dist/interactivity.min.js?ver=6.6.2 HTTP/1.0" 200 36686
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2 HTTP/1.0" 200 326628
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2 HTTP/1.0" 200 105184
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2 HTTP/1.0" 200 146060
127.0.0.1 - - [14/Sep/2024:17:42:27 -0600] "GET /favicon.ico HTTP/1.0" 302 -
127.0.0.1 - - [14/Sep/2024:17:42:28 -0600] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.0" 200 4119
127.0.0.1 - - [25/Sep/2024:12:54:24 -0600] "GET /wp-admin/?localwp_auto_login=1 HTTP/1.0" 302 -
127.0.0.1 - - [25/Sep/2024:12:54:24 -0600] "GET /wp-admin/user/ HTTP/1.0" 302 -
127.0.0.1 - - [25/Sep/2024:12:54:25 -0600] "GET /wp-admin/ HTTP/1.0" 200 71717
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/js/thickbox/thickbox.css?ver=6.6.2 HTTP/1.0" 200 2659
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/css/editor.min.css?ver=6.6.2 HTTP/1.0" 200 26956
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6 HTTP/1.0" 200 9141
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.0" 200 1718
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/js/admin-bar.min.js?ver=6.6.2 HTTP/1.0" 200 3487
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/js/clipboard.min.js?ver=2.0.11 HTTP/1.0" 200 9009
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-admin/js/common.min.js?ver=6.6.2 HTTP/1.0" 200 22454
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381 HTTP/1.0" 200 457
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/js/wp-util.min.js?ver=6.6.2 HTTP/1.0" 200 1426
127.0.0.1 - - [25/Sep/2024:12:54:26 -0600] "GET /wp-includes/js/underscore.min.js?ver=1.13.4 HTTP/1.0" 200 18833
